team,num,name,type,dob,height,weight,club
FWC,1,Official Emblem,fwc special · foil,,,,
FWC,2,Official Emblem,fwc special · foil,,,,
FWC,3,Official Mascots,fwc special · foil,,,,
FWC,4,Official Slogan,fwc special · foil,,,,
FWC,5,Official Ball,fwc special · foil,,,,
FWC,6,Canada - Host Countries & Cities,fwc special · foil,,,,
FWC,7,Mexico - Host Countries & Cities,fwc special · foil,,,,
FWC,8,USA - Host Countries & Cities,fwc special · foil,,,,
FWC,9,Italy 1934 - World Cup History,fwc special · foil,,,,
FWC,10,Uruguay 1950 - World Cup History,fwc special · foil,,,,
FWC,11,West Germany 1954 - World Cup History,fwc special · foil,,,,
FWC,12,Brazil 1962 - World Cup History,fwc special · foil,,,,
FWC,13,West Germany 1974 - World Cup History,fwc special · foil,,,,
FWC,14,Argentina 1986 - World Cup History,fwc special · foil,,,,
FWC,15,Brazil 1994 - World Cup History,fwc special · foil,,,,
FWC,16,Brazil 2002 - World Cup History,fwc special · foil,,,,
FWC,17,Italy 2006 - World Cup History,fwc special · foil,,,,
FWC,18,Germany 2014 - World Cup History,fwc special · foil,,,,
FWC,19,Argentina 2022 - World Cup History,fwc special · foil,,,,
ALG,1,Team Logo,team logo · foil,,,,
ALG,2,Alexis Guendouz,player,1996-01-26,,,MC Alger
ALG,3,Ramy Bensebaini,player,1995-04-16,187,,Borussia Dortmund
ALG,4,Youcef Atal,player,1996-05-17,176,,[[Al Sadd SC
ALG,5,Rayan Aït-Nouri,player,2001-06-06,180,,[[Manchester City F.C.
ALG,6,Mohamed Amine Tougai,player,2000-01-22,191,,[[Espérance Sportive de Tunis
ALG,7,Aïssa Mandi,player,1991-10-22,184,,[[Lille OSC
ALG,8,Ismael Bennacer,player,1997-12-01,175,,GNK Dinamo Zagreb
ALG,9,Houssem Aquar,player,1998-06-30,175,,Al-Ittihad Club (Jeddah)
ALG,10,Hicham Boudaoui,player,1999-09-23,175,,[[OGC Nice
ALG,11,Ramiz Zerrouki,player,1998-05-26,183,,[[FC Twente
ALG,12,Nabil Bentalab,player,,,,
ALG,13,Team Photo,team photo,,,,
ALG,14,Farés Chaibi,player,,,,
ALG,15,Riyad Mahrez,player,1991-02-21,179,,[[Al-Ahli Saudi FC
ALG,16,Said Benrahma,player,1995-08-10,172,,Neom SC
ALG,17,Anis Hadj Moussa,player,2002-02-11,176,,Feyenoord
ALG,18,Amine Gouiri,player,2000-02-16,181,,[[Olympique de Marseille
ALG,19,Baghdad Bounedjah,player,1991-11-24,185,,[[Al-Shamal SC
ALG,20,Mohammed Amoura,player,,,,
