team,num,name,type,slug_url
FWC,1,Official Emblem,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,2,Official Emblem,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,3,Official Mascots,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,4,Official Slogan,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,5,Official Ball,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,6,Canada - Host Countries & Cities,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,7,Mexico - Host Countries & Cities,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,8,USA - Host Countries & Cities,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,9,Italy 1934 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,10,Uruguay 1950 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,11,West Germany 1954 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,12,Brazil 1962 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,13,West Germany 1974 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,14,Argentina 1986 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,15,Brazil 1994 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,16,Brazil 2002 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,17,Italy 2006 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,18,Germany 2014 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
FWC,19,Argentina 2022 - World Cup History,fwc special · foil,https://scanini.app/teams/world-cup-history
ALG,1,Team Logo,team logo · foil,https://scanini.app/teams/algeria
ALG,2,Alexis Guendouz,player,https://scanini.app/teams/algeria
ALG,3,Ramy Bensebaini,player,https://scanini.app/teams/algeria
ALG,4,Youcef Atal,player,https://scanini.app/teams/algeria
ALG,5,Rayan Aït-Nouri,player,https://scanini.app/teams/algeria
ALG,6,Mohamed Amine Tougai,player,https://scanini.app/teams/algeria
ALG,7,Aïssa Mandi,player,https://scanini.app/teams/algeria
ALG,8,Ismael Bennacer,player,https://scanini.app/teams/algeria
ALG,9,Houssem Aquar,player,https://scanini.app/teams/algeria
